character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Isle of Conquest played,Deepwind Gorge (Legacy) played,Ashran played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Isle of Conquest won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Battle for Wintergrasp win_rate,Battle for Wintergrasp played,Battle for Wintergrasp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
194386574,Bigclock,outland,43.0,1749.0,80.0,17.0,55.0,100.0,57.0,50.0,71.0,50.0,80.0,88.0,5.0,6.0,11.0,6.0,7.0,6.0,7.0,10.0,10.0,8.0,4.0,1.0,6.0,6.0,4.0,3.0,5.0,5.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164701935,Avíréx,blackrock,5.0,54.0,,0.0,,100.0,,,,,,,,1.0,,1.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111017100,Vyneira,zirkel-des-cenarius,42.0,496.0,,100.0,50.0,,,40.0,100.0,100.0,100.0,,,1.0,2.0,,,5.0,1.0,2.0,1.0,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85396355,Tyranu,frostwolf,3.0,3749.0,100.0,50.0,33.0,70.0,,50.0,,,100.0,25.0,2.0,8.0,3.0,10.0,,6.0,,,1.0,4.0,2.0,4.0,1.0,7.0,,3.0,,,1.0,1.0,46.0,17.0,60.0,86.0,17.0,44.0,100.0,13.0,6.0,10.0,7.0,18.0,9.0,1.0,6.0,1.0,6.0,6.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,
165507222,Thyrann,blackmoore,29.0,21290.0,54.0,59.0,47.0,24.0,,73.0,,0.0,,,35.0,29.0,17.0,17.0,,22.0,,1.0,,,19.0,17.0,8.0,4.0,,16.0,,0.0,,,68.0,60.0,53.0,45.0,71.0,50.0,,38.0,110.0,59.0,29.0,17.0,8.0,,26.0,66.0,31.0,13.0,12.0,4.0,,100.0,13.0,13.0,,,,,,,,,,,,,,,
162775094,Snude,azshara,13.0,34650.0,54.0,27.0,50.0,50.0,,54.0,60.0,0.0,100.0,100.0,101.0,11.0,10.0,6.0,,13.0,5.0,2.0,2.0,1.0,55.0,3.0,5.0,3.0,,7.0,3.0,0.0,2.0,1.0,49.0,56.0,64.0,50.0,38.0,33.0,,71.0,106.0,87.0,109.0,40.0,6.0,,35.0,59.0,56.0,54.0,15.0,2.0,,100.0,1.0,1.0,67.0,3.0,2.0,,,,,,,,,,,,
164826119,Muhbringer,blackrock,5.0,13071.0,61.0,46.0,75.0,43.0,,33.0,0.0,,0.0,100.0,31.0,13.0,4.0,14.0,,3.0,1.0,,2.0,1.0,19.0,6.0,3.0,6.0,,1.0,0.0,,0.0,1.0,62.0,70.0,68.0,55.0,80.0,67.0,67.0,37.0,82.0,37.0,33.0,15.0,3.0,3.0,23.0,57.0,25.0,18.0,12.0,2.0,2.0,,,,0.0,1.0,0.0,,,,,,,,,,,,
84566364,Sariwa,blackhand,45.0,20242.0,48.0,65.0,52.0,42.0,,50.0,100.0,0.0,50.0,0.0,40.0,26.0,31.0,26.0,,12.0,2.0,2.0,2.0,1.0,19.0,17.0,16.0,11.0,,6.0,2.0,0.0,1.0,0.0,30.0,60.0,54.0,62.0,18.0,56.0,,37.0,45.0,37.0,32.0,22.0,16.0,,11.0,27.0,20.0,20.0,4.0,9.0,,100.0,22.0,22.0,43.0,7.0,3.0,,,,,,,,,,,,
44926816,Peragorn,arthas,12.0,27269.0,45.0,49.0,55.0,49.0,,45.0,50.0,,,,42.0,90.0,121.0,93.0,,114.0,4.0,,,,19.0,44.0,67.0,46.0,,51.0,2.0,,,,64.0,59.0,56.0,44.0,62.0,60.0,,67.0,106.0,116.0,45.0,16.0,43.0,,43.0,63.0,65.0,20.0,10.0,26.0,,,,,50.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,
120373370,Groobaz,burning-legion,25.0,29635.0,66.0,50.0,50.0,53.0,,44.0,,,100.0,,79.0,16.0,6.0,19.0,,9.0,,,1.0,,52.0,8.0,3.0,10.0,,4.0,,,1.0,,46.0,66.0,62.0,50.0,61.0,40.0,,72.0,77.0,90.0,80.0,31.0,5.0,,33.0,51.0,56.0,40.0,19.0,2.0,,,,,67.0,3.0,2.0,,,,,,,,,,,,
