,profile.name,profile.realm.slug,specialization.id
0,Postedeguill,dalaran,66
1,Khalep,suramar,66
3,Mirra,chants-éternels,66
0,Gøt,draenor,66
3,Nucléøtøm,medivh,66
3,Steks,blades-edge,66
1,Изэраа,gordunni,66
3,Якубовна,howling-fjord,66
4,Бычито,thermaplugg,66
0,Nassha,dalaran,66
3,Holijust,kazzak,66
0,Malwéthiel,kirin-tor,66
4,Smö,suramar,66
4,ßigleßelge,archimonde,66
3,Xbeltway,dun-modr,66
0,Soulbeat,antonidas,66
1,Sarthigas,dalaran,66
2,Palagrim,medivh,66
0,Noich,magtheridon,66
3,Paladili,ragnaros,66
4,Zinora,gorgonnash,66
1,Тиаматик,gordunni,66
4,Simsies,ravencrest,66
0,Ниэтта,gordunni,66
0,Cullen,ravencrest,66
4,Oxyda,suramar,66
1,Samyrite,khaz-modan,66
1,Энурез,gordunni,66
1,Bala,suramar,66
2,Овейт,gordunni,66
4,Twardziejszy,ravencrest,66
2,Мырглшмыргл,gordunni,66
4,Spirittrox,dalaran,66
2,Reshela,tarren-mill,66
0,Sashimy,ysondre,66
2,Stepamo,ravencrest,66
1,Bladerûnner,suramar,66
2,Wirbely,medivh,66
2,Athamon,dun-modr,66
4,Мортаганиц,gordunni,66
2,Cérie,stormscale,66
4,Noraki,malygos,66
3,Thorniah,suramar,66
3,Sylphark,suramar,66
2,Akilim,eldrethalas,66
3,Takapa,ysondre,66
4,Unana,dalaran,66
4,Warne,kaelthas,66
0,Psychokilla,wildhammer,66
2,Stanks,hyjal,66
1,Draho,suramar,66
0,Merogion,medivh,66
4,Staybøømer,medivh,66
0,Лейоэль,gordunni,66
1,Natsubasa,ysondre,66
1,Thýráel,blackhand,66
4,Диахрон,galakrond,66
2,Thortue,suramar,66
2,Lkm,medivh,66
3,Phillie,tarren-mill,66
4,Alkemuu,sanguino,66
3,Sinelc,medivh,66
3,Hellpaladin,sanguino,66
1,Verveine,thrall,66
4,Eleutheria,draenor,66
3,Exxodus,medivh,66
3,Loves,dun-modr,66
2,Bárbíé,silvermoon,66
0,Zaekyä,suramar,66
2,Onigokko,twisting-nether,66
2,Maxiimus,eldrethalas,66
0,Dizzie,zuljin,66
2,Läydana,suramar,66
2,Моал,gordunni,66
4,Tarrelbaard,sylvanas,66
