profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
148059676,Missago,tarren-mill,66,HORDE
102178351,Zahndoktor,antonidas,66,ALLIANCE
97331281,Subsie,ravencrest,66,ALLIANCE
175408155,Rawur,lightbringer,66,HORDE
142577511,Jouren,lightbringer,66,HORDE
140953264,Milkhergood,lightbringer,66,HORDE
129705563,Etros,lightbringer,66,HORDE
192599651,Aalmae,silvermoon,66,ALLIANCE
98356338,Goldberryz,ravencrest,66,ALLIANCE
1644249,Xiluva,lightbringer,66,ALLIANCE
152215714,Khaldros,lightbringer,66,ALLIANCE
100330881,Toastbringer,ravencrest,66,ALLIANCE
176813814,Nassha,dalaran,66,ALLIANCE
175503034,Тихэша,howling-fjord,66,HORDE
163984533,Maexa,lightbringer,66,ALLIANCE
140247153,Veldini,lightbringer,66,ALLIANCE
173745100,Léothras,hyjal,66,ALLIANCE
120481547,Delta,lightbringer,66,HORDE
189075251,Hosacré,hyjal,66,HORDE
170265777,Valokilpi,lightbringer,66,HORDE
160015269,Cukruson,draenor,66,HORDE
94834315,Haradrio,twisting-nether,66,HORDE
131225862,Piciipocok,lightbringer,66,HORDE
102502790,Ukshields,outland,66,ALLIANCE
134419779,Asherough,lightbringer,66,ALLIANCE
138397404,Moosus,lightbringer,66,HORDE
120605132,Boennliu,dun-morogh,66,ALLIANCE
243220049,Риилира,gordunni,66,ALLIANCE
191422244,Таукаскад,soulflayer,66,HORDE
175680362,Xolace,lightbringer,66,ALLIANCE
17377688,Wauspaus,lightbringer,66,ALLIANCE
56971754,Powerofheal,lightbringer,66,ALLIANCE
155579085,Beleobus,ravencrest,66,ALLIANCE
153297086,Stulaxio,lightbringer,66,HORDE
162118109,Feldhoof,kirin-tor,66,HORDE
158713851,Viceos,lightbringer,66,ALLIANCE
80096614,Drtechy,lightbringer,66,HORDE
35336284,Хексерон,gordunni,66,ALLIANCE
176558293,Youngpaladin,twisting-nether,66,HORDE
166311604,Balthtwo,drakthul,66,HORDE
118756624,Georgeypal,stormscale,66,HORDE
133568156,Victoriel,blackmoore,66,ALLIANCE
111294239,Auyumi,twisting-nether,66,HORDE
125479580,Evilbushehr,draenor,66,HORDE
168254004,Bisousbisous,hyjal,66,ALLIANCE
197676663,Hitcha,silvermoon,66,ALLIANCE
169993113,Logamir,tarren-mill,66,ALLIANCE
151459461,Ljus,stormscale,66,HORDE
192525940,Drwilliam,kazzak,66,HORDE
175394346,Unkown,mazrigos,66,HORDE
115528707,Syalthiel,draenor,66,HORDE
160370695,Alydria,lightbringer,66,HORDE
144463368,Pahapoika,agamaggan,66,HORDE
210056226,Dwellinger,nagrand,66,ALLIANCE
151840868,Holymartyr,ragnaros,66,HORDE
187244003,Luckseypal,silvermoon,66,ALLIANCE
152552462,Flashvonheal,lightbringer,66,ALLIANCE
111014702,Tyryion,ysondre,66,ALLIANCE
174652720,Divinecheese,twisting-nether,66,HORDE
237865862,Дохаерис,borean-tundra,66,ALLIANCE
162773143,Jolitia,lightbringer,66,ALLIANCE
158645008,Pangram,stormscale,66,HORDE
26398419,Töömstöne,grim-batol,66,ALLIANCE
243685341,Светлыч,gordunni,66,ALLIANCE
153903192,Papadin,bladefist,66,HORDE
132298140,Montferrat,blackmoore,66,HORDE
111091192,Cobrix,aegwynn,66,ALLIANCE
152573643,Expaladin,mazrigos,66,ALLIANCE
