character.id,profile.name,profile.slug,score
144130261,Postedeguill,dalaran,1567.9
109069073,Khalep,suramar,838.3
100218106,Mirra,chants-éternels,
122340550,Gøt,draenor,1319.9
64384723,Nucléøtøm,medivh,1058.3
166079251,Steks,blades-edge,1315.2
189570109,Изэраа,gordunni,1105.2
163731069,Якубовна,howling-fjord,1248.3
211942967,Бычито,thermaplugg,1210.3
176813814,Nassha,dalaran,1074.9
128177353,Holijust,kazzak,1193.8
154057664,Malwéthiel,kirin-tor,1120.8
87769201,Smö,suramar,1328.9
198022977,ßigleßelge,archimonde,953.9
149537371,Xbeltway,dun-modr,1301.0
72084963,Soulbeat,antonidas,938.7
168998405,Sarthigas,dalaran,1400.4
155781865,Palagrim,medivh,1115.2
134610693,Noich,magtheridon,1290.5
174098353,Paladili,ragnaros,1171.0
96884524,Zinora,gorgonnash,998.1
242522444,Тиаматик,gordunni,1017.7
107953820,Simsies,ravencrest,818.8
208882377,Ниэтта,gordunni,1265.0
102528126,Cullen,ravencrest,938.7
156496102,Oxyda,suramar,1074.5
124836866,Samyrite,khaz-modan,1027.3
209749715,Энурез,gordunni,1088.6
153715933,Bala,suramar,873.7
186637553,Овейт,gordunni,908.3
107271066,Twardziejszy,ravencrest,1188.4
181165363,Мырглшмыргл,gordunni,833.9
177564688,Spirittrox,dalaran,918.3
145840142,Reshela,tarren-mill,1046.0
157066315,Sashimy,ysondre,802.4
156096465,Stepamo,ravencrest,1095.0
37810006,Bladerûnner,suramar,1021.8
63840969,Wirbely,medivh,927.8
75425149,Athamon,dun-modr,1038.3
167019429,Мортаганиц,gordunni,868.3
155611839,Cérie,stormscale,887.6
147255592,Noraki,malygos,791.0
89973992,Thorniah,suramar,1442.8
159382094,Sylphark,suramar,1003.0
170039370,Akilim,eldrethalas,843.0
53193631,Takapa,ysondre,789.3
176668583,Unana,dalaran,784.2
91023223,Warne,kaelthas,963.9
192857006,Psychokilla,wildhammer,679.5
194407697,Stanks,hyjal,933.1
13736004,Draho,suramar,
159423076,Merogion,medivh,734.2
159520066,Staybøømer,medivh,929.3
185207464,Лейоэль,gordunni,975.4
94983254,Natsubasa,ysondre,845.0
156086511,Thýráel,blackhand,1104.2
116387848,Диахрон,galakrond,870.2
47118729,Thortue,suramar,850.8
156554070,Lkm,medivh,822.5
154609427,Phillie,tarren-mill,769.4
162344623,Alkemuu,sanguino,618.6
96130414,Sinelc,medivh,556.8
163519387,Hellpaladin,sanguino,899.8
127322677,Verveine,thrall,965.0
113489778,Eleutheria,draenor,676.7
64383491,Exxodus,medivh,760.9
158303395,Loves,dun-modr,896.6
186849746,Bárbíé,silvermoon,682.2
118719127,Zaekyä,suramar,929.7
152140655,Onigokko,twisting-nether,887.2
170388153,Maxiimus,eldrethalas,806.9
50870634,Dizzie,zuljin,1115.8
106427044,Läydana,suramar,810.3
188210602,Моал,gordunni,625.0
218601469,Tarrelbaard,sylvanas,683.3
91207120,Dèeper,chants-éternels,747.0
163144770,Delvardus,draenor,829.1
169167493,Barthelemy,argent-dawn,626.8
166944663,Garwiin,blackmoore,914.4
116034566,Klîxx,antonidas,931.8
76744501,Alícíen,blackhand,682.7
167942077,Blackjaque,blackrock,509.1
64186903,Sergueî,medivh,618.5
116897106,Lakkal,ysondre,720.4
169009457,Aleyah,genjuros,653.0
155662580,Rubycat,ragnaros,637.5
133443375,Ezene,draenor,702.6
115347308,Kashî,suramar,
158753227,Sagrada,medivh,867.3
152784346,Filgore,ulduar,608.5
114553032,Hästur,medivh,704.5
237413017,Рэдхарт,borean-tundra,904.3
222664549,Kentril,sylvanas,663.4
90169938,Makemedream,dalaran,929.2
155999239,Ðwarfnado,antonidas,795.1
158626001,Rocoquelicot,medivh,504.6
154260428,Rimpack,suramar,689.5
150667481,Tahrtaros,dalaran,559.2
171509847,Zßoß,archimonde,641.4
155958062,Rhôx,uldaman,522.6
112451970,Yveajr,suramar,369.7
94713210,Shînekai,les-sentinelles,733.6
148537761,Neriah,forscherliga,957.9
196658567,Dvx,archimonde,674.4
155799508,Theödric,kirin-tor,545.2
162145152,Chillfaktor,ambossar,464.1
90838322,Alchëmïst,kaelthas,589.4
171810315,Hardtoplay,eldrethalas,405.6
189227817,Ootrox,elune,532.8
197803161,Yoishi,hyjal,428.3
194119102,Ethellen,hyjal,780.7
176995816,Chroner,burning-legion,679.5
111913618,Riibs,medivh,
142605589,Spôrki,malygos,721.8
242979272,Floepert,sylvanas,512.6
64386231,Ziki,medivh,325.6
163186474,Barzüul,sargeras,661.0
143407894,Saintsang,dalaran,527.2
156282036,Thirlyr,medivh,
116819031,Braocka,medivh,319.2
73318752,Willeena,les-clairvoyants,544.5
174858263,Abdy,zuljin,1916.9
158337454,Shikanna,drakthul,1571.9
197550361,Lustucrü,archimonde,1237.8
200372215,Etienell,arathor,1378.4
170229125,Элитныи,gordunni,1329.2
198285101,ßigleßelge,archimonde,953.9
245041355,Динадин,gordunni,1295.9
151225031,Webionda,pozzo-delleternità,1127.6
77261493,Yunica,ysondre,1180.6
182510604,Oswäld,archimonde,1298.7
226096042,Bleguta,sylvanas,1035.9
179739665,Zoël,elune,1183.4
177051271,Unclebeast,pozzo-delleternità,940.6
118090800,Kleovictis,magtheridon,1035.8
185755972,Аэктаан,gordunni,1072.5
164840523,Kreùos,khaz-modan,931.0
125896747,Acupan,dalaran,910.8
155690604,Lacade,medivh,1050.0
107144363,Shtrauska,les-clairvoyants,1348.9
83630023,Akarnan,ravencrest,1149.6
134200391,Chuipàlà,sargeras,1206.5
156018554,Pestiferos,ysondre,1050.1
177201981,Тенелом,azuregos,893.0
103866490,Diomedis,antonidas,1055.1
193329699,Schultheiss,aegwynn,1012.1
239645496,Звездница,deathweaver,892.2
96517044,Ританнэ,soulflayer,759.4
84582695,Firionel,dun-modr,884.0
167726621,Jessicalba,elune,852.3
175364315,Xothy,dun-modr,872.8
67466910,Herkuluni,ravencrest,914.9
159358974,Teratoma,tarren-mill,1001.2
97161276,Stanlie,ragnaros,954.7
42990090,Typos,lothar,1139.5
176778491,Fleance,sanguino,640.1
244313418,Рэйнметалл,deathguard,1112.9
191510274,Palaberg,kazzak,1107.5
144955481,Itsmesalz,twisting-nether,930.8
144275153,Wrathyon,argent-dawn,807.0
177702679,Draho,dalaran,903.3
178897876,Horgax,silvermoon,917.3
166072875,Fasel,blackmoore,1143.1
172102928,Франчулли,gordunni,842.7
159683121,Thounga,medivh,1103.6
104867451,Pandoru,uldaman,825.0
156979527,Drohg,antonidas,745.0
162452691,Ericdrage,silvermoon,900.0
116789373,Toxique,medivh,821.0
64455664,Bulbizarre,medivh,744.2
153965809,Bonkie,alonsus,
72667609,Йоказуна,goldrinn,859.8
93711900,Холикек,gordunni,779.8
188639381,Bubblebubble,silvermoon,863.8
98297602,Bigpile,medivh,494.8
120675849,Calofonija,arathor,854.2
167858761,Zioné,grim-batol,724.5
170673078,Zédaesquina,aggra-português,864.9
103971879,Panikburrito,blackhand,665.3
158547193,Trîppertine,antonidas,884.8
243090715,Дазорочка,gordunni,878.1
164760741,Aelmar,tarren-mill,569.3
147226956,Bigcheat,elune,690.2
190013616,Kotowate,frostmane,685.2
150787688,Jigsaaw,amanthul,904.7
245976554,Verac,kilrogg,809.1
188869283,Криштабелла,gordunni,1086.6
185437984,Constcast,silvermoon,732.0
246466932,Пажилойкраб,gordunni,672.5
145675269,Citty,die-aldor,861.0
115303327,Cycator,suramar,597.2
218681661,Âdam,sylvanas,610.1
243788056,Luckyman,sylvanas,882.0
174049353,Alandor,dalaran,527.2
147282489,Notlob,twisting-nether,494.3
202516255,Бромощь,eversong,615.5
243258442,Кракберри,gordunni,1069.8
151562728,Gonat,kirin-tor,655.2
